iter	RMSE
0	7.941993033
1	7.940172122
2	7.938776284
3	7.937795664
4	7.93705347
5	7.93614432
6	7.935319079
7	7.934441379
8	7.933859086
9	7.933122686
10	7.931347931
11	7.930238892
12	7.929693283
13	7.929437419
14	7.928545054
15	7.927952517
16	7.927435623
17	7.927040642
18	7.926198192
19	7.925677539
20	7.925189097
21	7.923880923
22	7.923554197
23	7.923019346
24	7.922666218
25	7.922188811
26	7.921723438
27	7.921060255
28	7.920661027
29	7.920171996
30	7.919746629
31	7.919404579
32	7.919090296
33	7.91847853
34	7.918238019
35	7.917930145
36	7.91765257
37	7.917168967
38	7.916671018
39	7.916247147
40	7.915196916
41	7.91477802
42	7.913849464
43	7.913578766
44	7.913273238
45	7.912650911
46	7.912287491
47	7.911914784
48	7.911612
49	7.911062016
50	7.910826899
51	7.9103558
52	7.90999115
53	7.909330636
54	7.908684397
55	7.908264313
56	7.907959141
57	7.907739388
58	7.907292274
59	7.906865371
60	7.906464584
61	7.906179861
62	7.90548108
63	7.905270253
64	7.904905369
65	7.904496892
66	7.904051563
67	7.903723736
68	7.903410234
69	7.903029518
70	7.902519992
71	7.902162292
72	7.901724706
73	7.901320283
74	7.90101175
75	7.900336139
76	7.899938115
77	7.89961715
78	7.899304329
79	7.899041855
80	7.898871931
81	7.89867837
82	7.898426566
83	7.898073745
84	7.897629743
85	7.897346953
86	7.896950748
87	7.896614746
88	7.896423944
89	7.895855734
90	7.89558442
91	7.895336458
92	7.895174616
93	7.894880479
94	7.894573664
95	7.894198995
96	7.89386907
97	7.89359459
98	7.893111765
99	7.892883996
100	7.892658192
101	7.892358611
102	7.892206564
103	7.89183488
104	7.891550474
105	7.891148628
106	7.890686212
107	7.890013097
108	7.889577935
109	7.889243591
110	7.889012894
111	7.888715147
112	7.888500491
113	7.888112857
114	7.887713653
115	7.88739388
116	7.887157494
117	7.886784445
118	7.886512537
119	7.886266262
120	7.885901062
121	7.885720428
122	7.885403111
123	7.885114809
124	7.884794931
125	7.884302548
126	7.884078471
127	7.883787866
128	7.883422832
129	7.882974058
130	7.882689614
131	7.882541891
132	7.882173135
133	7.881948716
134	7.88136762
135	7.881033209
136	7.880788173
137	7.880571609
138	7.880317252
139	7.880199941
140	7.880042865
141	7.879793568
142	7.879515214
143	7.879279437
144	7.879183827
145	7.879052114
146	7.878799119
147	7.878568116
148	7.878422572
149	7.878031621
150	7.87792161
151	7.877669706
152	7.877445723
153	7.877197189
154	7.876991812
155	7.876840596
156	7.876559881
157	7.876366054
158	7.876188588
159	7.8760351
160	7.875901642
161	7.875639233
162	7.875408138
163	7.875094074
164	7.874902469
165	7.874683204
166	7.874487355
167	7.874276263
168	7.874071092
169	7.873884824
170	7.873620655
171	7.87346373
172	7.873246401
173	7.873035557
174	7.872863096
175	7.872734948
176	7.872556552
177	7.872109134
178	7.871810465
179	7.871559213
180	7.871350865
181	7.871180626
182	7.871037204
183	7.870887568
184	7.870716754
185	7.870574453
186	7.870469138
187	7.870384432
188	7.870265561
189	7.870194689
190	7.870135958
191	7.869993929
192	7.869944515
193	7.869904983
194	7.869871664
195	7.869845403
196	7.869822248
197	7.869705345
198	7.869683885
199	7.869669483
200	7.869571215
201	7.869557943
202	7.869476052
203	7.869465039
204	7.869431717
205	7.869301254
206	7.86923122
207	7.869173612
208	7.869124192
209	7.869017728
210	7.868892905
211	7.868787567
212	7.868701997
213	7.868629699
214	7.868567567
215	7.868459118
216	7.868407152
217	7.868317906
218	7.868272717
219	7.868164829
220	7.868128395
221	7.867823644
222	7.867477924
223	7.867194333
224	7.866946888
225	7.866746045
226	7.866570903
227	7.866424573
228	7.866304511
229	7.866193206
230	7.865944317
231	7.865738646
232	7.86556885
233	7.86530864
234	7.865222749
235	7.865076393
236	7.864923818
237	7.864796953
238	7.864683648
239	7.864587296
240	7.86448303
241	7.86439713
242	7.864319706
243	7.864165139
244	7.864038261
245	7.863931163
246	7.863867299
247	7.863814455
248	7.863743807
249	7.863316518
250	7.863125474
251	7.862916903
252	7.862563619
253	7.862406191
254	7.862363795
255	7.862117329
256	7.861982504
257	7.861811496
258	7.86154353
259	7.861431591
260	7.861362901
261	7.8611834
262	7.861092658
263	7.861055626
264	7.860910889
265	7.860827211
266	7.860752579
267	7.860532354
268	7.860346048
269	7.860197057
270	7.860045519
271	7.859921967
272	7.859794173
273	7.859683058
274	7.859582121
275	7.859495884
276	7.859402296
277	7.859279582
278	7.859210025
279	7.858996543
280	7.858819533
281	7.858796345
282	7.85849208
283	7.858436373
284	7.858228525
285	7.858082039
286	7.858036792
287	7.857917734
288	7.857716095
289	7.857646241
290	7.857589678
291	7.857498895
292	7.857481926
293	7.857405848
294	7.857320437
295	7.857281973
296	7.857251711
297	7.857169125
298	7.857143954
299	7.856986983
300	7.85696577
301	7.856856595
302	7.856839908
303	7.856827745
304	7.856813886
305	7.856802007
306	7.856779097
307	7.856768349
308	7.856758732
309	7.856749116
310	7.856741479
311	7.856683779
312	7.856677273
313	7.856671899
314	7.856581954
315	7.856290332
316	7.856230083
317	7.856185673
318	7.856110149
319	7.856103077
320	7.856098834
321	7.856095157
322	7.856080448
323	7.856078468
324	7.856074507
325	7.856071962
326	7.856070547
327	7.856069982
328	7.856068002
329	7.856065456
330	7.856063193
331	7.85606489
332	7.856063759
333	7.856063759
334	7.856063193
335	7.856063193
336	7.85606291
337	7.856063759
338	7.856061496
339	7.856061213
340	7.85606291
341	7.856061496
342	7.856061496
343	7.856062061
344	7.856062344
345	7.85606291
346	7.856061778
347	7.856061778
348	7.856061778
349	7.856062344
350	7.85606291
351	7.856061496
352	7.856062344
353	7.856061496
354	7.856061778
355	7.856061778
356	7.856061213
357	7.85606093
358	7.856060647
359	7.85606093
360	7.856060364
361	7.856061213
362	7.856061496
363	7.856061213
364	7.85606093
365	7.85606093
366	7.856060647
367	7.856060647
368	7.85606093
369	7.856061213
370	7.856061496
371	7.856062061
372	7.856061496
373	7.856061778
374	7.856061496
375	7.856061496
376	7.856061496
377	7.856061496
378	7.856061496
379	7.856061496
380	7.856061496
381	7.856061213
382	7.856061213
383	7.856061213
384	7.856061496
